concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 1";"Passeio";789942
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 1";"Passeio";902347
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 1";"Passeio";349660
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 1";"Passeio";427598
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 1";"Passeio";228984
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 1";"Passeio";290977
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 1";"Passeio";167383
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 1";"Passeio";222104
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 1";"Passeio";158119
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 1";"Passeio";203998
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 1";"Passeio";136465
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 1";"Passeio";176773
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 1";"Passeio";139379
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 1";"Passeio";176885
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 1";"Passeio";169181
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 1";"Passeio";202091
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 2";"Comercial";63638
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 2";"Comercial";63444
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 2";"Comercial";35085
"AUTOPISTA FERNÃO DIAS";"01/01/2019";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 2";"Comercial";36622
