concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 1";"Passeio";866535
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 1";"Passeio";781611
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 2";"Comercial";56902
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 2";"Comercial";57311
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 3";"Passeio";1748
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 3";"Passeio";1577
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 4";"Comercial";40829
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 4";"Comercial";39500
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 5";"Passeio";490
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 5";"Passeio";391
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 6";"Comercial";19238
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 6";"Comercial";20519
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 7";"Comercial";13940
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 7";"Comercial";14830
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 8";"Comercial";13797
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 8";"Comercial";14273
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 9";"Moto";21495
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 9";"Moto";22163
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Outros";"Comercial";5732
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Outros";"Comercial";4256
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 1";"Passeio";397918
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 1";"Passeio";319954
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 2";"Comercial";31278
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 2";"Comercial";29399
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 3";"Passeio";1399
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 3";"Passeio";985
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 4";"Comercial";32873
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 4";"Comercial";33845
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 5";"Passeio";191
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 5";"Passeio";164
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 6";"Comercial";22166
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 6";"Comercial";20922
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 7";"Comercial";16526
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 7";"Comercial";19309
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 8";"Comercial";21919
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 8";"Comercial";22063
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 9";"Moto";10348
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 9";"Moto";9295
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Outros";"Comercial";8337
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Outros";"Comercial";6411
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 1";"Passeio";282946
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 1";"Passeio";217737
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 2";"Comercial";25999
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 2";"Comercial";24782
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 3";"Passeio";1243
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 3";"Passeio";1037
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 4";"Comercial";30303
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 4";"Comercial";31592
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 5";"Passeio";171
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 5";"Passeio";178
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 6";"Comercial";19231
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 6";"Comercial";18604
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 7";"Comercial";15294
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 7";"Comercial";17709
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 8";"Comercial";21997
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 8";"Comercial";21262
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 9";"Moto";5364
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 9";"Moto";5024
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Outros";"Comercial";8447
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Outros";"Comercial";6312
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 1";"Passeio";216267
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 1";"Passeio";159286
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 2";"Comercial";23439
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 2";"Comercial";21619
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 3";"Passeio";1237
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 3";"Passeio";989
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 4";"Comercial";32179
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 4";"Comercial";34422
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 5";"Passeio";149
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 5";"Passeio";175
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 6";"Comercial";17167
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 6";"Comercial";19531
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 7";"Comercial";16815
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 7";"Comercial";17750
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 8";"Comercial";24452
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 8";"Comercial";22627
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 9";"Moto";2909
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 9";"Moto";2512
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Outros";"Comercial";8461
"AUTOPISTA FERNÃO DIAS";"01/01/2016";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Outros";"Comercial";6092
