concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 1";"Passeio";873102
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 1";"Passeio";805750
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 2";"Comercial";54961
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 2";"Comercial";51814
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 3";"Passeio";1585
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 3";"Passeio";1461
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 4";"Comercial";53322
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 4";"Comercial";53056
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 5";"Passeio";138
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 5";"Passeio";117
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 6";"Comercial";9307
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 6";"Comercial";9242
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 7";"Comercial";23440
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 7";"Comercial";23396
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 8";"Comercial";22480
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 8";"Comercial";23789
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 9";"Moto";22745
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 9";"Moto";24524
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Outros";"Comercial";6854
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Outros";"Comercial";8158
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 1";"Passeio";401723
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 1";"Passeio";326406
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 2";"Comercial";26877
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 2";"Comercial";26663
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 3";"Passeio";1389
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 3";"Passeio";1172
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 4";"Comercial";41391
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 4";"Comercial";41628
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 5";"Passeio";182
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 5";"Passeio";177
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 6";"Comercial";10712
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 6";"Comercial";10574
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 7";"Comercial";26153
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 7";"Comercial";26755
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 8";"Comercial";33276
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 8";"Comercial";33250
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 9";"Moto";11261
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 9";"Moto";10214
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Outros";"Comercial";10321
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Outros";"Comercial";9682
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 1";"Passeio";286308
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 1";"Passeio";220784
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 2";"Comercial";22442
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 2";"Comercial";22595
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 3";"Passeio";1247
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 3";"Passeio";1072
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 4";"Comercial";37836
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 4";"Comercial";38120
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 5";"Passeio";164
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 5";"Passeio";155
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 6";"Comercial";9555
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 6";"Comercial";9136
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 7";"Comercial";23593
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 7";"Comercial";24063
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 8";"Comercial";32106
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 8";"Comercial";31486
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 9";"Moto";6456
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 9";"Moto";6144
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Outros";"Comercial";10554
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Outros";"Comercial";10751
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 1";"Passeio";222684
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 1";"Passeio";162978
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 2";"Comercial";17972
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 2";"Comercial";18143
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 3";"Passeio";1351
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 3";"Passeio";1130
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 4";"Comercial";39877
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 4";"Comercial";40825
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 5";"Passeio";181
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 5";"Passeio";151
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 6";"Comercial";10645
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 6";"Comercial";10717
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 7";"Comercial";22747
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 7";"Comercial";22985
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 8";"Comercial";33990
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 8";"Comercial";33239
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 9";"Moto";3097
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 9";"Moto";2586
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Outros";"Comercial";11398
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Outros";"Comercial";11171
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 1";"Passeio";202557
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 1";"Passeio";150007
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 2";"Comercial";15778
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 2";"Comercial";16167
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 3";"Passeio";1314
