concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 1";"Passeio";854929
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 1";"Passeio";737630
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 2";"Comercial";59548
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 2";"Comercial";58355
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 3";"Passeio";1811
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 3";"Passeio";1643
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 4";"Comercial";43004
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 4";"Comercial";40536
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 5";"Passeio";183
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 5";"Passeio";205
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 6";"Comercial";22449
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 6";"Comercial";20849
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 7";"Comercial";15289
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 7";"Comercial";16048
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 8";"Comercial";15287
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 8";"Comercial";16112
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 9";"Moto";22740
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 9";"Moto";21328
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Outros";"Comercial";6892
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Outros";"Comercial";5614
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 1";"Passeio";406142
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 1";"Passeio";329854
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 2";"Comercial";33537
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 2";"Comercial";32192
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 3";"Passeio";1348
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 3";"Passeio";997
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 4";"Comercial";35818
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 4";"Comercial";37067
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 5";"Passeio";184
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 5";"Passeio";161
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 6";"Comercial";26719
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 6";"Comercial";23878
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 7";"Comercial";17963
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 7";"Comercial";21522
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 8";"Comercial";24585
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 8";"Comercial";25613
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 9";"Moto";9554
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 9";"Moto";8747
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Outros";"Comercial";9751
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Outros";"Comercial";8344
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 1";"Passeio";280845
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 1";"Passeio";219406
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 2";"Comercial";27285
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 2";"Comercial";26080
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 3";"Passeio";1138
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 3";"Passeio";942
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 4";"Comercial";31336
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 4";"Comercial";33291
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 5";"Passeio";165
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 5";"Passeio";162
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 6";"Comercial";23068
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 6";"Comercial";20961
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 7";"Comercial";16605
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 7";"Comercial";19610
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 8";"Comercial";24394
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 8";"Comercial";24261
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 9";"Moto";5164
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 9";"Moto";4782
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Outros";"Comercial";9790
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Outros";"Comercial";8167
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 1";"Passeio";215292
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 1";"Passeio";161161
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 2";"Comercial";24686
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 2";"Comercial";22785
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 3";"Passeio";1218
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 3";"Passeio";1096
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 4";"Comercial";33779
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 4";"Comercial";36115
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 5";"Passeio";165
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 5";"Passeio";170
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 6";"Comercial";22151
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 6";"Comercial";21900
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 7";"Comercial";16451
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 7";"Comercial";19132
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 8";"Comercial";26886
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 8";"Comercial";25904
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 9";"Moto";2812
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 9";"Moto";2230
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Outros";"Comercial";10530
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Outros";"Comercial";7898
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 1";"Passeio";199285
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 1";"Passeio";154200
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 2";"Comercial";21773
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 2";"Comercial";20010
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 3";"Passeio";1079
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 3";"Passeio";964
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 4";"Comercial";32039
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 4";"Comercial";35320
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 5";"Passeio";160
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 5";"Passeio";143
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 6";"Comercial";21007
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 6";"Comercial";23067
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 7";"Comercial";15053
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 7";"Comercial";17576
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 8";"Comercial";28977
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 8";"Comercial";25269
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 9";"Moto";2619
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 9";"Moto";2359
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Outros";"Comercial";11043
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Outros";"Comercial";7048
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 1";"Passeio";173182
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 1";"Passeio";133195
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 2";"Comercial";19856
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 2";"Comercial";18302
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 3";"Passeio";966
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 3";"Passeio";836
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 4";"Comercial";28868
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 4";"Comercial";30920
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 5";"Passeio";156
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 5";"Passeio";136
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 6";"Comercial";19650
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 6";"Comercial";17164
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 7";"Comercial";12884
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 7";"Comercial";15483
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 8";"Comercial";19604
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 8";"Comercial";22164
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 9";"Moto";2453
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 9";"Moto";2314
"AUTOPISTA FERNÃO DIAS";"01/01/2018";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Outros";"Comercial";6550
