concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 3";"Passeio";1689
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 3";"Passeio";1157
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 3";"Passeio";1453
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 3";"Passeio";1047
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 3";"Passeio";1299
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 3";"Passeio";1030
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 3";"Passeio";1244
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 3";"Passeio";902
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 3";"Passeio";1106
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 3";"Passeio";827
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 3";"Passeio";1085
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 3";"Passeio";1138
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 3";"Passeio";1258
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 4";"Comercial";37520
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 4";"Comercial";40705
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 4";"Comercial";38003
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 4";"Comercial";36319
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 4";"Comercial";32444
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 4";"Comercial";31047
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 4";"Comercial";33952
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 4";"Comercial";31238
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 4";"Comercial";33407
