Concessionaria;mes_ano;Sentido;Praca;Categoria;Tipo_de_veiculo;Volume_total
RODOVIA DO AÇO;01-11-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5408
RODOVIA DO AÇO;01-12-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5956
RODOVIA DO AÇO;01-12-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5873
RODOVIA DO AÇO;01-01-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;194
RODOVIA DO AÇO;01-01-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;155
RODOVIA DO AÇO;01-02-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;134
RODOVIA DO AÇO;01-02-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;146
RODOVIA DO AÇO;01-03-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;144
RODOVIA DO AÇO;01-03-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;144
RODOVIA DO AÇO;01-04-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;166
RODOVIA DO AÇO;01-04-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;168
RODOVIA DO AÇO;01-05-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;151
RODOVIA DO AÇO;01-05-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;156
RODOVIA DO AÇO;01-06-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;131
RODOVIA DO AÇO;01-06-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;142
RODOVIA DO AÇO;01-07-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;176
RODOVIA DO AÇO;01-07-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;152
RODOVIA DO AÇO;01-08-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;178
RODOVIA DO AÇO;01-08-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;183
RODOVIA DO AÇO;01-09-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;159
RODOVIA DO AÇO;01-09-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;158
RODOVIA DO AÇO;01-10-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;181
RODOVIA DO AÇO;01-10-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;198
RODOVIA DO AÇO;01-11-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;179
RODOVIA DO AÇO;01-11-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;179
RODOVIA DO AÇO;01-12-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;166
RODOVIA DO AÇO;01-12-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;188
RODOVIA DO AÇO;01-01-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;14053
RODOVIA DO AÇO;01-01-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12181
RODOVIA DO AÇO;01-02-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12354
RODOVIA DO AÇO;01-02-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;10579
RODOVIA DO AÇO;01-03-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12976
RODOVIA DO AÇO;01-03-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;11017
RODOVIA DO AÇO;01-04-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12096
RODOVIA DO AÇO;01-04-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;10595
RODOVIA DO AÇO;01-05-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12463
RODOVIA DO AÇO;01-05-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;11218
RODOVIA DO AÇO;01-06-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12215
RODOVIA DO AÇO;01-06-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;10485
RODOVIA DO AÇO;01-07-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12738
RODOVIA DO AÇO;01-07-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;11005
RODOVIA DO AÇO;01-08-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12360
RODOVIA DO AÇO;01-08-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;10574
RODOVIA DO AÇO;01-09-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12300
RODOVIA DO AÇO;01-09-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;10300
RODOVIA DO AÇO;01-10-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12864
RODOVIA DO AÇO;01-10-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;10771
RODOVIA DO AÇO;01-11-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12499
RODOVIA DO AÇO;01-11-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;10272
RODOVIA DO AÇO;01-12-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12146
RODOVIA DO AÇO;01-12-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;10747
RODOVIA DO AÇO;01-01-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;24
RODOVIA DO AÇO;01-01-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;28
RODOVIA DO AÇO;01-02-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;22
RODOVIA DO AÇO;01-02-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;13
RODOVIA DO AÇO;01-03-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;19
RODOVIA DO AÇO;01-03-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;14
RODOVIA DO AÇO;01-04-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;18
RODOVIA DO AÇO;01-04-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;19
RODOVIA DO AÇO;01-05-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;33
RODOVIA DO AÇO;01-05-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;32
RODOVIA DO AÇO;01-06-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;35
RODOVIA DO AÇO;01-06-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;39
RODOVIA DO AÇO;01-07-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;43
RODOVIA DO AÇO;01-07-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;33
