concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 1";"Passeio";855024
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 1";"Passeio";756863
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 2";"Comercial";58406
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 2";"Comercial";57155
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 3";"Passeio";1752
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 3";"Passeio";1585
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 4";"Comercial";41718
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 4";"Comercial";39094
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 5";"Passeio";491
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 5";"Passeio";300
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 6";"Comercial";20265
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 6";"Comercial";19750
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 7";"Comercial";14568
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 7";"Comercial";15257
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 8";"Comercial";14398
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 8";"Comercial";15171
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 9";"Moto";21448
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 9";"Moto";21375
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Outros";"Comercial";6432
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Outros";"Comercial";5294
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 1";"Passeio";392485
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 1";"Passeio";319075
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 2";"Comercial";31067
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 2";"Comercial";29533
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 3";"Passeio";1465
"AUTOPISTA FERNÃO DIAS";"01/01/2017";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 3";"Passeio";1156
